Date,Temperature,Pressure,Sky_Cover,Wind_Speed,Rainfall
2022-03-11,61.527499999999996,1020.7125,0.0,2.9625,0.0
2022-03-12,61.805,1017.3541666666666,0.20833333333333334,3.533333333333333,0.0
2022-03-13,58.52,1015.8041666666667,3.2916666666666665,3.1750000000000003,0.0
2022-03-14,60.1025,1017.6125000000001,3.25,3.3125,0.0
2022-03-15,60.260000000000005,1015.9458333333333,3.7083333333333335,2.8333333333333335,0.0
2022-03-16,63.89750000000001,1012.525,3.25,4.320833333333334,0.0
2022-03-17,64.625,1013.3333333333334,4.083333333333333,4.091666666666667,0.0
2022-03-18,62.165,1012.975,3.0833333333333335,2.8708333333333336,0.0
2022-03-19,59.1875,1011.9666666666667,7.291666666666667,4.054166666666666,0.125
2022-03-20,62.225,1011.25,2.7916666666666665,6.991666666666667,0.0
