"","Year","Month","Day","Hour","Temperature","Pressure","Sky_Cover","Wind_Speed","Rainfall"
"218",2022,1,10,2,"14.3",1022.6,6,2.2,0
"219",2022,1,10,3,"13.2",1022.3,7,2.7,0
"220",2022,1,10,4,"12.2",1022,8,0,0
"221",2022,1,10,5,"12.5",1022,8,1.9,0
"222",2022,1,10,6,"15.0",1022.5,8,4.5,0
"223",2022,1,10,7,"15.1",1022.8,8,3.5,0
"224",2022,1,10,8,"15.7",1023,8,3,0
"225",2022,1,10,9,"16.3",1023.5,8,2.2,0
"226",2022,1,10,10,"17.8",1023.7,8,2.6,0
"227",2022,1,10,11,"20.2",1023.2,8,3.1,0
"228",2022,1,10,12,"21.7",1022.2,8,3,0
"229",2022,1,10,13,"21.9",1021.1,8,2.6,0
"230",2022,1,10,14,"23.3",1020.3,8,2.7,0
"231",2022,1,10,15,"23.1",1020.1,8,3.1,0
"232",2022,1,10,16,"21.7",1020,8,3.1,0
"233",2022,1,10,17,"20.5",1020.1,7,2.3,0
"234",2022,1,10,18,"19.9",1020.6,6,3.6,0
"235",2022,1,10,19,"18.8",1021.2,5,3.5,0
"236",2022,1,10,20,"17.7",1021.3,5,2.9,0
"237",2022,1,10,21,"17.0",1021.6,5,1.6,0
"238",2022,1,10,22,"15.6",1021.7,5,2.1,0
"239",2022,1,10,23,"15.6",1021.8,5,0.2,0
"240",2022,1,10,24,"15.3",1021.4,5,2.2,0
"241",2022,1,11,1,"13.4",1021,5,2.9,0
"242",2022,1,11,2,"14.3",1020.7,5,1.6,0
"243",2022,1,11,3,"13.8",1020.4,5,2.3,0
"244",2022,1,11,4,"13.3",1019.7,5,0,0
"245",2022,1,11,5,"13.5",1019.4,3,2.3,0
"246",2022,1,11,6,"15.0",1020.1,3,4.1,0
"247",2022,1,11,7,"15.0",1020.7,3,3.6,0
"248",2022,1,11,8,"15.2",1021.2,3,0.4,0
"249",2022,1,11,9,"17.0",1021.7,3,2.9,0
"250",2022,1,11,10,"19.4",1021.9,3,1.5,0
"251",2022,1,11,11,"22.3",1021,3,1.5,0
"252",2022,1,11,12,"23.4",1019.8,3,1.6,0
"253",2022,1,11,13,"24.5",1018.5,3,2.5,0
"254",2022,1,11,14,"25.6",1018,3,2,0
"255",2022,1,11,15,"25.4",1017.7,3,1.5,0
"256",2022,1,11,16,"23.9",1017.6,3,1.5,0
"257",2022,1,11,17,"21.6",1017.9,3,2.6,0
"258",2022,1,11,18,"21.1",1018.3,2,2.3,0
"259",2022,1,11,19,"20.8",1018.9,0,0,0
"260",2022,1,11,20,"18.6",1019.5,0,0.2,0
"261",2022,1,11,21,"16.0",1019.9,0,1.6,0
"262",2022,1,11,22,"15.6",1020.3,0,2.1,0
"263",2022,1,11,23,"16.6",1020,0,2.2,0
"264",2022,1,11,24,"16.1",1019.5,0,3,0
"265",2022,1,12,1,"15.6",1019.2,0,2.6,0
"266",2022,1,12,2,"12.2",1019.2,0,2.5,0
"267",2022,1,12,3,"12.3",1019,0,1.3,0
"268",2022,1,12,4,"12.8",1018.9,0,0,0
"269",2022,1,12,5,"12.1",1019.2,3,1.6,0
"270",2022,1,12,6,"12.0",1019.3,5,2.2,0
"271",2022,1,12,7,"13.8",1019.6,5,2.6,0
"272",2022,1,12,8,"13.1",1020.2,6,2.7,0
"273",2022,1,12,9,"15.5",1020.9,7,2.9,0
"274",2022,1,12,10,"19.4",1021.2,8,1.5,0
"275",2022,1,12,11,"22.3",1020.7,8,2.1,0
"276",2022,1,12,12,"23.4",1019.5,8,2,0
"277",2022,1,12,13,"24.5",1018.3,8,1.6,0
"278",2022,1,12,14,"25.6",1017.9,8,2.3,0
"279",2022,1,12,15,"24.8",1017.7,8,0.5,0
"280",2022,1,12,16,"18.9",1017.9,8,4.6,0
"281",2022,1,12,17,"18.8",1018,8,3.2,0
"282",2022,1,12,18,"17.7",1018.1,8,3.6,0
"283",2022,1,12,19,"16.7",1018.5,8,3.4,0
"284",2022,1,12,20,"16.8",1018.7,8,2.2,0
"285",2022,1,12,21,"17.6",1018.7,8,2.5,0
"286",2022,1,12,22,"16.1",1018.9,8,1.5,0
"287",2022,1,12,23,"17.3",1019,8,1.6,0
"288",2022,1,12,24,"17.4",1018.7,8,2.2,0
"289",2022,1,13,1,"14.7",1018.6,8,3,0
"290",2022,1,13,2,"16.4",1018.3,8,2,0
